Date,Week,TransType,Player,Position,Team,From,To,By,TransCosts
2020-10-15 09:45:00,6,Drop,Marquez Valdes-Scantling,WR,GB,Fantasy Football Team,Waivers,Liam via Mobile Device,
2020-10-15 15:47:00,6,Lineup,James White,RB,NE,RB,BN,Matt,
2020-10-15 15:47:00,6,Lineup,Le'Veon Bell,RB,KC,BN,RB,Matt,
2020-10-15 15:52:00,6,Lineup,James White,RB,NE,BN,RB,Matt,
2020-10-15 15:52:00,6,Lineup,Le'Veon Bell,RB,KC,RB,BN,Matt,
2020-10-16 18:39:00,6,Add,Zane Gonzalez,K,ARI,Free Agents,Eatin W's,Graham via Mobile Device,
2020-10-16 18:39:00,6,Lineup,Teddy Bridgewater,QB,CAR,QB,BN,Graham via Mobile Device,
2020-10-16 18:39:00,6,Lineup,Aaron Rodgers,QB,GB,BN,QB,Graham via Mobile Device,
2020-10-16 18:39:00,6,Drop,Jason Myers,K,SEA,Eatin W's,Waivers,Graham via Mobile Device,
2020-10-16 18:40:00,6,Lineup,Zane Gonzalez,K,ARI,BN,K,Graham via Mobile Device,
2020-10-16 18:40:00,6,Lineup,Kenyan Drake,RB,ARI,RB,BN,Graham via Mobile Device,
2020-10-16 18:40:00,6,Lineup,Devonta Freeman,RB,NYG,BN,RB,Graham via Mobile Device,
2020-10-16 18:41:00,6,Drop,Teddy Bridgewater,QB,CAR,Eatin W's,Waivers,Graham via Mobile Device,
2020-10-16 18:41:00,6,Add,Zack Moss,RB,BUF,Free Agents,Eatin W's,Graham via Mobile Device,
2020-10-16 18:42:00,6,Lineup,Devonta Freeman,RB,NYG,RB,BN,Graham via Mobile Device,
2020-10-16 18:42:00,6,Lineup,Kenyan Drake,RB,ARI,BN,RB,Graham via Mobile Device,
2020-10-17 00:50:00,6,Drop,Zack Moss,RB,BUF,Eatin W's,Waivers,Graham,
2020-10-17 00:50:00,6,Add,Leonard Fournette,RB,TB,Waivers,Eatin W's,Graham,11 pts
2020-10-17 10:32:00,6,Lineup,Michael Gallup,WR,DAL,WR,BN,Lucas via Mobile Device,
2020-10-17 10:32:00,6,Lineup,Chris Godwin,WR,TB,BN,WR,Lucas via Mobile Device,
2020-10-17 15:13:00,6,Lineup,Mecole Hardman,WR,KC,BN,WR,Liam via Mobile Device,
