,name,position,team,first_owner,drafted_by,Week01_owner,Week01_points,Week01_status,Week01_RostStatus,Week10_owner,Week10_points,Week10_status,Week10_RostStatus,Week11_owner,Week11_points,Week11_status,Week11_RostStatus,Week12_owner,Week12_points,Week12_status,Week12_RostStatus,Week13_owner,Week13_points,Week13_status,Week13_RostStatus,Week14_owner,Week14_points,Week14_status,Week14_RostStatus,Week15_owner,Week15_points,Week15_status,Week15_RostStatus,Week16_owner,Week16_points,Week16_status,Week16_RostStatus,Week02_owner,Week02_points,Week02_status,Week02_RostStatus,Week03_owner,Week03_points,Week03_status,Week03_RostStatus,Week04_owner,Week04_points,Week04_status,Week04_RostStatus,Week05_owner,Week05_points,Week05_status,Week05_RostStatus,Week06_owner,Week06_points,Week06_status,Week06_RostStatus,Week07_owner,Week07_points,Week07_status,Week07_RostStatus,Week08_owner,Week08_points,Week08_status,Week08_RostStatus,Week09_owner,Week09_points,Week09_status,Week09_RostStatus,Week01_TransStatus,Week10_TransStatus,Week11_TransStatus,Week12_TransStatus,Week13_TransStatus,Week14_TransStatus,Week15_TransStatus,Week16_TransStatus,Week02_TransStatus,Week03_TransStatus,Week04_TransStatus,Week05_TransStatus,Week06_TransStatus,Week07_TransStatus,Week08_TransStatus,Week09_TransStatus
"Jefferson, J. WR MIN","Jefferson, J.",WR,MIN,Kevin,Kevin,Kevin,4.6,Inactive,Bench,Lucas,21.5,Active,Starting,Lucas,17.6,Active,Starting,Lucas,26.0,Active,Starting,Lucas,27.3,Active,Starting,Lucas,9.9,Active,Starting,Lucas,18.4,Active,Starting,Lucas,14.5,Active,Starting,FA,,FA,FA,FA,,FA,FA,Lucas,14.3,Active,Starting,Lucas,5.3,Active,Starting,Lucas,39.6,Active,Starting,Lucas,0.0,Inactive,Bench,Lucas,5.6,Active,Starting,Lucas,9.4,Active,Starting,None,Traded,None,None,None,None,None,None,Dropped,FA,PickedUp,None,None,None,None,None
"Wilson, R. QB SEA","Wilson, R.",QB,SEA,Nolan,Nolan,Nolan,31.78,Active,Starting,Nolan,9.92,Active,Starting,Nolan,20.08,Active,Starting,Nolan,14.4,Active,Starting,Nolan,15.02,Active,Starting,Nolan,22.14,Active,Starting,Nolan,12.04,Active,Starting,Nolan,19.9,Active,Starting,Nolan,33.42,Active,Starting,Nolan,36.8,Active,Starting,Nolan,20.9,Active,Starting,Nolan,24.48,Active,Starting,Nolan,0.0,Inactive,Bench,Nolan,29.92,Active,Starting,Nolan,28.74,Active,Starting,Nolan,22.1,Active,Starting,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Carson, C. RB SEA","Carson, C.",RB,SEA,Nolan,Nolan,Nolan,24.6,Active,Starting,Nolan,0.0,Inactive,Bench,Nolan,0.0,Inactive,Bench,Nolan,13.9,Active,Starting,Nolan,20.0,Active,Starting,Nolan,18.8,Active,Starting,Nolan,8.9,Active,Starting,Nolan,10.9,Active,Starting,Nolan,19.8,Active,Starting,Nolan,10.6,Active,Starting,Nolan,25.0,Active,Starting,Nolan,19.9,Active,Starting,Nolan,0.0,Inactive,Bench,Nolan,5.1,Active,Starting,Nolan,0.0,Active,Starting,Nolan,0.0,Inactive,Bench,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Jacobs, J. RB LV","Jacobs, J.",RB,LV,Nolan,Nolan,Nolan,35.9,Active,Starting,Nolan,29.6,Active,Starting,Nolan,13.4,Active,Starting,Nolan,5.4,Active,Starting,Nolan,0.0,Inactive,Bench,Nolan,10.4,Active,Starting,Nolan,20.4,Active,Starting,Nolan,6.9,Active,Starting,Nolan,13.5,Active,Starting,Nolan,9.3,Active,Starting,Nolan,10.3,Active,Starting,Nolan,22.5,Active,Starting,Nolan,0.0,Inactive,Bench,Nolan,6.1,Active,Starting,Nolan,12.9,Active,Starting,Nolan,13.8,Active,Starting,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Fuller, W. WR HOU","Fuller, W.",WR,HOU,Nolan,Nolan,Nolan,19.2,Active,Starting,Nolan,10.1,Active,Starting,Nolan,14.0,Active,Starting,Nolan,35.1,Active,Starting,Nolan,0.00,Inactive,Reserve,Nolan,0.00,Inactive,Reserve,Nolan,0.00,Inactive,Reserve,Nolan,0.00,Inactive,Reserve,Nolan,0.0,Inactive,Bench,Nolan,15.5,Inactive,Bench,Nolan,22.8,Active,Starting,Nolan,15.8,Active,Starting,Nolan,24.3,Active,Starting,Nolan,12.5,Active,Starting,Nolan,0.0,Inactive,Bench,Nolan,21.0,Active,Starting,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Chark, D. WR JAX","Chark, D.",WR,JAX,Nolan,Nolan,Nolan,11.5,Active,Starting,Nolan,9.6,Active,Starting,Nolan,8.1,Active,Starting,Nolan,0.0,Inactive,Bench,Nolan,6.1,Active,Starting,Nolan,3.6,Active,Starting,Nolan,9.3,Inactive,Bench,Nolan,16.2,Inactive,Bench,Nolan,12.4,Active,Starting,Nolan,0.0,Inactive,Bench,Nolan,29.5,Active,Starting,Nolan,4.6,Active,Starting,Nolan,11.5,Active,Starting,Nolan,3.6,Inactive,Bench,Nolan,0.0,Inactive,Bench,Nolan,27.6,Inactive,Bench,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Metcalf, D. WR SEA","Metcalf, D.",WR,SEA,Nolan,Nolan,Nolan,19.5,Active,Starting,Nolan,4.8,Active,Starting,Nolan,13.6,Active,Starting,Nolan,27.7,Active,Starting,Nolan,13.0,Active,Starting,Nolan,18.1,Active,Starting,Nolan,9.3,Active,Starting,Nolan,11.9,Active,Starting,Nolan,19.2,Active,Starting,Nolan,19.0,Active,Starting,Nolan,14.6,Active,Starting,Nolan,27.3,Active,Starting,Nolan,0.0,Inactive,Bench,Nolan,4.3,Active,Starting,Nolan,40.1,Active,Starting,Nolan,23.8,Active,Starting,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Gronkowski, R. TE TB","Gronkowski, R.",TE,TB,Nolan,Nolan,Nolan,3.1,Active,Starting,Sam,13.1,Inactive,Bench,Sam,4.5,Active,Starting,Sam,16.6,Active,Starting,Sam,0.0,Inactive,Bench,Sam,7.2,Active,Starting,Sam,5.9,Active,Starting,Sam,19.8,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,Kevin,3.9,Inactive,Bench,Kevin,8.2,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,Sam,14.1,Active,Starting,Sam,1.2,Active,Starting,None,Traded,None,None,None,None,None,None,Dropped,FA,PickedUp,None,Dropped,FA,PickedUp,None
"Drake, K. RB ARI","Drake, K.",RB,ARI,Nolan,Nolan,Nolan,14.5,Active,Starting,Graham,9.9,Inactive,Bench,Graham,16.0,Inactive,Bench,Graham,24.3,Active,Starting,Graham,13.8,Active,Starting,Graham,16.0,Active,Starting,Graham,6.0,Active,Starting,Graham,13.0,Inactive,Bench,Nolan,11.5,Active,Starting,Nolan,8.9,Active,Starting,Graham,3.5,Active,Starting,Graham,13.2,Active,Starting,Graham,28.4,Active,Starting,Graham,5.1,Active,Starting,Graham,0.0,Inactive,Bench,Graham,0.0,Inactive,Bench,None,Traded,None,None,None,None,None,None,Traded,None,Traded,None,None,None,None,None
"Zuerlein, G. K DAL","Zuerlein, G.",K,DAL,Nolan,Nolan,Nolan,5.0,Active,Starting,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,f,5.0,Active,Starting,f,14.0,Active,Starting,f,13.0,Active,Starting,f,13.0,Active,Starting,FA,,FA,FA,FA,,FA,FA,Liam,2.0,Active,Starting,Liam,14.0,Active,Starting,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,None,Dropped,FA,FA,PickedUp,None,None,None,Dropped,FA,PickedUp,None,Dropped,FA,FA,FA
Ravens DEF,Ravens DEF,DEF,Ravens,Nolan,Nolan,Nolan,15.0,Active,Starting,Nolan,1.0,Active,Starting,Nolan,3.0,Active,Starting,Nolan,8.0,Inactive,Bench,Nolan,4.0,Active,Starting,Nolan,0.0,Active,Starting,Nolan,10.0,Active,Starting,Nolan,10.0,Active,Starting,Nolan,15.0,Active,Starting,Nolan,7.0,Active,Starting,Nolan,6.0,Active,Starting,Nolan,26.0,Active,Starting,Nolan,7.0,Active,Starting,Nolan,0.0,Inactive,Bench,Nolan,4.0,Active,Starting,Nolan,14.0,Active,Starting,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Brady, T. QB TB","Brady, T.",QB,TB,Nolan,Nolan,Nolan,20.46,Inactive,Bench,Matt,31.84,Active,Starting,Matt,12.64,Active,Starting,Matt,21.7,Active,Starting,Matt,0.0,Inactive,Bench,Matt,15.64,Active,Starting,Matt,23.4,Active,Starting,Matt,29.92,Active,Starting,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Matt,14.64,Inactive,Bench,FA,,FA,FA,Matt,19.06,Active,Starting,Matt,2.36,Active,Starting,None,Traded,None,None,None,None,None,None,Dropped,FA,FA,FA,PickedUp,Dropped,PickedUp,None
"Bernard, G. RB CIN","Bernard, G.",RB,CIN,Nolan,Nolan,Nolan,6.8,Inactive,Bench,Matt,8.7,Inactive,Bench,Matt,9.5,Active,Starting,Matt,6.9,Inactive,Bench,Matt,4.9,Inactive,Bench,Matt,3.3,Active,Starting,FA,,FA,FA,FA,,FA,FA,Nolan,7.5,Inactive,Bench,Nolan,9.9,Inactive,Bench,Nolan,1.9,Inactive,Bench,Nolan,1.4,Inactive,Bench,FA,,FA,FA,Matt,23.0,Active,Starting,Matt,22.8,Active,Starting,Matt,0.0,Inactive,Bench,None,Traded,None,None,None,None,Dropped,FA,PickedUp,None,None,None,Dropped,PickedUp,None,None
"Evans, M. WR TB","Evans, M.",WR,TB,Nolan,Nolan,Nolan,7.2,Inactive,Bench,Graham,19.7,Active,Starting,Graham,15.9,Active,Starting,Graham,20.0,Active,Starting,Graham,0.0,Inactive,Bench,Graham,8.6,Inactive,Bench,Graham,17.0,Inactive,Bench,Graham,40.1,Active,Starting,Nolan,23.4,Active,Starting,Nolan,14.2,Active,Starting,Graham,25.2,Active,Starting,Graham,15.1,Active,Starting,Graham,2.0,Active,Starting,Graham,5.7,Active,Starting,Graham,16.5,Active,Starting,Graham,10.4,Active,Starting,None,Traded,None,None,None,None,None,None,Traded,None,Traded,None,None,None,None,None
"Fournette, L. RB TB","Fournette, L.",RB,TB,Nolan,Nolan,Nolan,2.9,Inactive,Bench,Graham,5.0,Active,Starting,Graham,9.6,Active,Starting,Graham,5.0,Active,Starting,Graham,0.0,Inactive,Bench,Graham,0.0,Inactive,Bench,Graham,21.5,Inactive,Bench,Graham,15.6,Active,Starting,Nolan,27.6,Inactive,Bench,Nolan,4.2,Inactive,Bench,Nolan,0.0,Inactive,Bench,Nolan,0.0,Inactive,Bench,Graham,0.0,Inactive,Bench,Graham,15.7,Inactive,Bench,Graham,10.1,Active,Starting,Graham,10.1,Inactive,Bench,None,Traded,None,None,None,None,None,None,Traded,None,None,None,Traded,None,None,None
"Slayton, D. WR NYG","Slayton, D.",WR,NYG,Nolan,Nolan,Nolan,28.2,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,Graham,0.0,Active,Starting,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Nolan,6.3,Inactive,Bench,Nolan,6.3,Inactive,Bench,Nolan,7.8,Inactive,Bench,Nolan,20.9,Inactive,Bench,Nolan,11.8,Active,Starting,Nolan,4.3,Inactive,Bench,Nolan,10.6,Inactive,Bench,Nolan,1.8,Inactive,Bench,None,Dropped,FA,PickedUp,Dropped,FA,FA,FA,PickedUp,None,None,None,None,None,None,None
"Edwards, B. WR LV","Edwards, B.",WR,LV,Nolan,Nolan,Nolan,1.9,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Nolan,6.2,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,None,Dropped,FA,FA,FA,FA,FA,FA,PickedUp,Dropped,FA,FA,FA,FA,FA,FA
"Wentz, C. QB PHI","Wentz, C.",QB,PHI,Jess,Jess,Jess,13.0,Active,Starting,Jess,8.72,Inactive,Bench,Jess,14.4,Inactive,Bench,Jess,18.8,Inactive,Bench,Jess,4.96,Inactive,Bench,Jess,0.0,Inactive,Bench,Jess,0.0,Inactive,Bench,Jess,0.0,Inactive,Bench,Jess,12.38,Active,Starting,Jess,21.5,Inactive,Bench,Jess,21.42,Inactive,Bench,Jess,17.42,Inactive,Bench,Jess,29.42,Active,Starting,Jess,27.76,Active,Starting,Jess,8.62,Inactive,Bench,Jess,0.0,Inactive,Bench,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Ingram, M. RB BAL","Ingram, M.",RB,BAL,Jess,Jess,Jess,2.9,Active,Starting,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Jess,15.7,Active,Starting,Jess,3.0,Active,Starting,Jess,10.7,Active,Starting,Jess,5.7,Active,Starting,Jess,2.0,Inactive,Bench,Jess,0.0,Inactive,Bench,Jess,0.0,Inactive,Bench,Jess,0.0,Inactive,Bench,None,Dropped,FA,FA,FA,FA,FA,FA,PickedUp,None,None,None,None,None,None,None
"Henry, D. RB TEN","Henry, D.",RB,TEN,Jess,Jess,Jess,16.1,Active,Starting,Jess,11.9,Active,Starting,Jess,20.2,Active,Starting,Jess,38.5,Active,Starting,Jess,5.9,Active,Starting,Jess,36.2,Active,Starting,Jess,25.2,Active,Starting,Jess,9.8,Active,Starting,Jess,8.4,Active,Starting,Jess,27.0,Active,Starting,Jess,0.0,Inactive,Bench,Jess,19.3,Active,Starting,Jess,40.4,Active,Starting,Jess,15.2,Active,Starting,Jess,17.2,Active,Starting,Jess,6.8,Active,Starting,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Jones, J. WR ATL","Jones, J.",WR,ATL,Jess,Jess,Jess,24.7,Active,Starting,Jess,0.0,Inactive,Bench,Jess,5.9,Active,Starting,Jess,0.0,Inactive,Bench,Jess,15.4,Active,Starting,Jess,0.0,Active,Starting,Jess,0.0,Inactive,Bench,Jess,0.0,Inactive,Bench,Jess,4.4,Active,Starting,Jess,0.0,Inactive,Bench,Jess,7.2,Active,Starting,Jess,0.0,Inactive,Bench,Jess,33.7,Active,Starting,Jess,17.7,Active,Starting,Jess,20.7,Active,Starting,Jess,16.4,Active,Starting,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Smith-Schuster, J. WR PIT","Smith-Schuster, J.",WR,PIT,Jess,Jess,Jess,24.9,Active,Starting,Jess,22.7,Active,Starting,Jess,5.9,Active,Starting,Jess,17.7,Active,Starting,Jess,9.8,Active,Starting,Jess,17.5,Active,Starting,Jess,2.5,Active,Starting,Jess,24.6,Active,Starting,Jess,11.8,Active,Starting,Jess,16.3,Active,Starting,Jess,0.0,Inactive,Bench,Jess,6.8,Active,Starting,Jess,2.6,Active,Starting,Jess,17.5,Inactive,Bench,Jess,13.7,Inactive,Bench,Jess,21.3,Active,Starting,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Moore, D. WR CAR","Moore, D.",WR,CAR,Jess,Jess,Jess,9.4,Active,Starting,Jess,19.6,Active,Starting,Jess,21.8,Active,Starting,Jess,10.1,Active,Starting,Jess,0.0,Inactive,Bench,Jess,0.0,Inactive,Bench,Jess,19.2,Active,Starting,Jess,8.7,Active,Starting,Jess,20.0,Active,Starting,Jess,8.5,Active,Starting,Jess,8.9,Active,Starting,Jess,19.3,Active,Starting,Jess,14.3,Active,Starting,Jess,25.3,Active,Starting,Jess,7.5,Active,Starting,Jess,3.8,Active,Starting,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Cook, J. TE NO","Cook, J.",TE,NO,Jess,Jess,Jess,13.0,Active,Starting,Jess,0.0,Active,Starting,Jess,1.6,Active,Starting,Jess,0.0,Active,Starting,FA,,FA,FA,FA,,FA,FA,Graham,4.9,Active,Starting,Graham,11.2,Active,Starting,Jess,9.3,Active,Starting,Jess,4.1,Active,Starting,Jess,0.0,Inactive,Bench,Jess,13.2,Inactive,Bench,Jess,0.0,Inactive,Bench,Jess,12.2,Active,Starting,Jess,16.1,Active,Starting,Jess,3.0,Active,Starting,None,None,None,None,Dropped,FA,PickedUp,None,Traded,None,None,None,None,None,None,None
"Gordon, M. RB DEN","Gordon, M.",RB,DEN,Jess,Jess,Jess,15.6,Active,Starting,Jess,4.6,Active,Starting,Jess,18.4,Active,Starting,Jess,3.1,Inactive,Bench,Jess,15.2,Inactive,Bench,Jess,12.1,Inactive,Bench,Jess,24.1,Inactive,Bench,Jess,7.9,Inactive,Bench,Jess,16.4,Active,Starting,Jess,7.8,Active,Starting,Jess,25.8,Active,Starting,Jess,0.0,Inactive,Bench,Jess,0.0,Inactive,Bench,Jess,12.0,Active,Starting,Jess,10.7,Active,Starting,Jess,3.7,Active,Starting,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Butker, H. K KC","Butker, H.",K,KC,Jess,Jess,Jess,10.0,Active,Starting,Jess,0.0,Inactive,Bench,Jess,5.0,Inactive,Bench,Jess,9.0,Inactive,Bench,Jess,17.0,Inactive,Bench,Jess,8.0,Inactive,Bench,Jess,6.0,Active,Starting,Jess,7.0,Active,Starting,Jess,12.0,Active,Starting,Jess,3.0,Active,Starting,Jess,7.0,Active,Starting,Jess,6.0,Active,Starting,Jess,7.0,Active,Starting,Jess,13.0,Active,Starting,Jess,5.0,Active,Starting,Jess,10.0,Active,Starting,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Chiefs DEF,Chiefs DEF,DEF,Chiefs,Jess,Jess,Jess,7.0,Active,Starting,FA,,FA,FA,FA,,FA,FA,Sam,5.0,Inactive,Bench,Sam,5.0,Active,Starting,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Jess,5.0,Active,Starting,Jess,7.0,Active,Starting,Jess,20.0,Inactive,Bench,Jess,-1.0,Active,Starting,Jess,3.0,Active,Starting,Jess,24.0,Active,Starting,Jess,9.0,Active,Starting,Jess,1.0,Active,Starting,None,Dropped,FA,PickedUp,None,Dropped,FA,FA,PickedUp,None,None,None,None,None,None,None
"Jones, M. WR DET","Jones, M.",WR,DET,Jess,Jess,Jess,9.5,Inactive,Bench,Jess,23.6,Active,Starting,Jess,9.1,Active,Starting,Jess,10.8,Active,Starting,Jess,25.6,Active,Starting,Jess,8.8,Active,Starting,Jess,27.2,Active,Starting,Jess,4.9,Active,Starting,Jess,12.3,Inactive,Bench,Jess,8.1,Active,Starting,Jess,1.9,Active,Starting,Jess,0.0,Inactive,Bench,Jess,2.8,Active,Starting,Jess,13.0,Active,Starting,Jess,18.9,Inactive,Bench,Jess,13.3,Inactive,Bench,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Coleman, T. RB SF","Coleman, T.",RB,SF,Jess,Jess,Jess,3.4,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Jess,6.0,Inactive,Bench,Jess,0.0,Inactive,Bench,Jess,0.00,Inactive,Reserve,Jess,0.0,Inactive,Bench,Jess,0.0,Inactive,Bench,Jess,0.0,Inactive,Bench,Jess,2.0,Inactive,Bench,Jess,0.0,Inactive,Bench,None,Dropped,FA,FA,FA,FA,FA,FA,PickedUp,None,None,None,None,None,None,None
"Shepard, S. WR NYG","Shepard, S.",WR,NYG,Jess,Jess,Jess,10.7,Inactive,Bench,Jess,10.7,Inactive,Bench,Jess,0.0,Inactive,Bench,Jess,13.8,Active,Starting,Jess,5.2,Active,Starting,Jess,6.5,Active,Starting,Jess,8.8,Active,Starting,Jess,22.7,Active,Starting,Jess,5.5,Inactive,Bench,Jess,0.00,Inactive,Reserve,Jess,0.00,Inactive,Reserve,Jess,0.00,Inactive,Reserve,Jess,0.00,Inactive,Reserve,Jess,17.90,Inactive,Reserve,Jess,15.40,Inactive,Reserve,Jess,11.7,Inactive,Bench,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Hooper, A. TE CLE","Hooper, A.",TE,CLE,Jess,Jess,Jess,3.5,Inactive,Bench,Matt,2.1,Inactive,Bench,Matt,6.3,Active,Starting,Matt,9.3,Inactive,Bench,Matt,4.4,Inactive,Bench,Matt,0.0,Inactive,Bench,Matt,15.1,Inactive,Bench,Matt,14.1,Inactive,Bench,Jess,4.2,Inactive,Bench,Jess,5.5,Inactive,Bench,Jess,14.4,Active,Starting,Jess,10.7,Active,Starting,Jess,10.2,Active,Starting,Jess,0.0,Inactive,Bench,Jess,0.0,Inactive,Bench,Matt,0.0,Inactive,Bench,None,Traded,None,None,None,None,None,None,Traded,None,None,None,None,None,None,Traded
"Montgomery, D. RB CHI","Montgomery, D.",RB,CHI,Jess,Jess,Jess,8.4,Inactive,Bench,Jess,0.0,Inactive,Bench,Jess,0.0,Inactive,Bench,Jess,25.3,Active,Starting,Jess,27.1,Active,Starting,Jess,24.5,Active,Starting,Jess,29.2,Active,Starting,Jess,20.1,Active,Starting,Jess,21.7,Inactive,Bench,Jess,7.4,Inactive,Bench,Jess,10.7,Active,Starting,Jess,18.9,Active,Starting,Jess,13.7,Active,Starting,Jess,11.9,Active,Starting,Jess,12.5,Active,Starting,Jess,5.2,Active,Starting,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Pollard, T. RB DAL","Pollard, T.",RB,DAL,Jess,Jess,Jess,10.0,Inactive,Bench,Liam,0.0,Inactive,Bench,Liam,13.6,Inactive,Bench,Liam,4.2,Inactive,Bench,Liam,16.4,Inactive,Bench,Liam,20.5,Inactive,Bench,Liam,33.2,Inactive,Bench,Liam,3.0,Active,Starting,Jess,12.5,Inactive,Bench,Jess,0.5,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,Liam,8.8,Inactive,Bench,Liam,12.9,Inactive,Bench,Liam,13.3,Active,Starting,Liam,9.1,Active,Starting,None,Traded,None,None,None,None,None,None,Traded,None,Dropped,FA,PickedUp,None,None,None
"Murray, K. QB ARI","Murray, K.",QB,ARI,Sam,Sam,Sam,26.3,Active,Starting,Sam,29.9,Active,Starting,Sam,20.26,Active,Starting,Sam,7.9,Active,Starting,Sam,16.42,Active,Starting,Sam,18.46,Active,Starting,Sam,33.14,Active,Starting,Sam,15.38,Active,Starting,Sam,32.14,Active,Starting,Sam,21.7,Active,Starting,Sam,23.12,Active,Starting,Sam,26.3,Active,Starting,Sam,28.92,Active,Starting,Sam,37.1,Active,Starting,Sam,0.0,Inactive,Bench,Sam,37.92,Active,Starting,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Mixon, J. RB CIN","Mixon, J.",RB,CIN,Sam,Sam,Sam,6.1,Active,Starting,Matt,0.0,Inactive,Bench,Matt,0.00,Inactive,Reserve,Matt,0.00,Inactive,Reserve,Matt,0.00,Inactive,Reserve,Matt,0.00,Inactive,Reserve,Matt,0.0,Active,Starting,Matt,0.0,Inactive,Bench,Matt,12.6,Active,Starting,Matt,8.5,Inactive,Bench,Matt,42.1,Inactive,Bench,Matt,15.4,Active,Starting,Matt,14.9,Active,Starting,Matt,0.0,Inactive,Bench,Matt,0.0,Inactive,Bench,Matt,0.0,Inactive,Bench,None,Traded,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Cook, D. RB MIN","Cook, D.",RB,MIN,Sam,Sam,Sam,21.8,Active,Starting,Sam,15.2,Active,Starting,Sam,25.0,Active,Starting,Sam,10.2,Active,Starting,Sam,23.9,Active,Starting,Sam,19.0,Active,Starting,Sam,26.9,Active,Starting,Sam,16.5,Active,Starting,Sam,17.1,Active,Starting,Sam,25.9,Active,Starting,Sam,28.6,Active,Starting,Sam,19.9,Active,Starting,Sam,0.0,Inactive,Bench,Sam,0.0,Inactive,Bench,Sam,48.6,Active,Starting,Sam,39.2,Active,Starting,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Woods, R. WR LA","Woods, R.",WR,LA,Sam,Sam,Sam,17.9,Active,Starting,Sam,8.6,Active,Starting,Sam,30.6,Active,Starting,Sam,15.8,Active,Starting,Sam,18.5,Active,Starting,Sam,8.1,Active,Starting,Sam,21.6,Active,Starting,Sam,8.9,Active,Starting,Sam,11.3,Active,Starting,Sam,21.4,Active,Starting,Sam,9.8,Active,Starting,Sam,17.1,Inactive,Bench,Sam,14.0,Inactive,Bench,Sam,5.5,Active,Starting,Sam,28.4,Active,Starting,Sam,0.0,Inactive,Bench,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Parker, D. WR MIA","Parker, D.",WR,MIA,Sam,Sam,Sam,8.7,Active,Starting,Sam,5.1,Inactive,Bench,FA,,FA,FA,Kevin,19.9,Active,Starting,Kevin,7.5,Active,Starting,Kevin,0.0,Inactive,Bench,Kevin,0.0,Inactive,Bench,Kevin,0.0,Inactive,Bench,Sam,16.3,Inactive,Bench,Sam,11.9,Active,Starting,Sam,21.0,Active,Starting,Sam,13.0,Active,Starting,Sam,6.5,Active,Starting,Sam,0.0,Inactive,Bench,Sam,7.3,Active,Starting,Sam,12.4,Inactive,Bench,None,None,Dropped,PickedUp,None,None,None,None,Traded,None,None,None,None,None,None,None
"McLaurin, T. WR WAS","McLaurin, T.",WR,WAS,Sam,Sam,Sam,11.1,Active,Starting,Kevin,17.2,Active,Starting,Kevin,13.4,Active,Starting,Kevin,16.2,Active,Starting,Kevin,3.4,Active,Starting,Kevin,4.4,Active,Starting,Kevin,14.7,Active,Starting,Kevin,0.0,Inactive,Bench,Sam,25.5,Active,Starting,Sam,12.6,Active,Starting,Sam,21.8,Inactive,Bench,Sam,5.6,Active,Starting,Sam,14.4,Inactive,Bench,Kevin,22.0,Active,Starting,Kevin,0.0,Inactive,Bench,Kevin,24.5,Active,Starting,None,Traded,None,None,None,None,None,None,Traded,None,None,None,None,Traded,None,None
"Engram, E. TE NYG","Engram, E.",TE,NYG,Sam,Sam,Sam,2.9,Active,Starting,Matt,3.5,Active,Starting,Matt,0.0,Inactive,Bench,Matt,16.9,Active,Starting,Matt,7.2,Active,Starting,Matt,3.8,Active,Starting,FA,,FA,FA,FA,,FA,FA,Matt,12.5,Active,Starting,Matt,5.2,Active,Starting,Matt,9.5,Inactive,Bench,Matt,9.5,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,Matt,12.0,Inactive,Bench,Matt,15.8,Active,Starting,None,Traded,None,None,None,None,Dropped,FA,PickedUp,None,None,None,Dropped,FA,PickedUp,None
"Gibson, A. RB WAS","Gibson, A.",RB,WAS,Sam,Sam,Sam,6.4,Active,Starting,Sam,22.5,Active,Starting,Sam,17.4,Active,Starting,Sam,36.6,Active,Starting,Sam,1.4,Active,Starting,Sam,0.0,Inactive,Bench,Sam,0.0,Inactive,Bench,Sam,9.9,Active,Starting,Sam,12.2,Inactive,Bench,Sam,13.0,Inactive,Bench,Sam,22.8,Inactive,Bench,Sam,10.1,Active,Starting,Sam,9.5,Active,Starting,Sam,18.8,Active,Starting,Sam,0.0,Inactive,Bench,Sam,12.5,Inactive,Bench,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
