,name,position,team,first_owner,drafted_by,Week01_owner,Week01_points,Week01_status,Week01_RostStatus,Week10_owner,Week10_points,Week10_status,Week10_RostStatus,Week11_owner,Week11_points,Week11_status,Week11_RostStatus,Week12_owner,Week12_points,Week12_status,Week12_RostStatus,Week13_owner,Week13_points,Week13_status,Week13_RostStatus,Week14_owner,Week14_points,Week14_status,Week14_RostStatus,Week15_owner,Week15_points,Week15_status,Week15_RostStatus,Week16_owner,Week16_points,Week16_status,Week16_RostStatus,Week02_owner,Week02_points,Week02_status,Week02_RostStatus,Week03_owner,Week03_points,Week03_status,Week03_RostStatus,Week04_owner,Week04_points,Week04_status,Week04_RostStatus,Week05_owner,Week05_points,Week05_status,Week05_RostStatus,Week06_owner,Week06_points,Week06_status,Week06_RostStatus,Week07_owner,Week07_points,Week07_status,Week07_RostStatus,Week08_owner,Week08_points,Week08_status,Week08_RostStatus,Week09_owner,Week09_points,Week09_status,Week09_RostStatus,Week01_TransStatus,Week10_TransStatus,Week11_TransStatus,Week12_TransStatus,Week13_TransStatus,Week14_TransStatus,Week15_TransStatus,Week16_TransStatus,Week02_TransStatus,Week03_TransStatus,Week04_TransStatus,Week05_TransStatus,Week06_TransStatus,Week07_TransStatus,Week08_TransStatus,Week09_TransStatus
"Landry, J. WR CLE","Landry, J.",WR,CLE,Graham,Graham,Graham,11.1,Inactive,Bench,Liam,5.9,Active,Starting,Liam,4.6,Inactive,Bench,Liam,28.3,Inactive,Bench,Liam,20.44,Active,Starting,Liam,11.68,Active,Starting,Liam,19.1,Active,Starting,Liam,0.0,Inactive,Bench,Graham,7.6,Active,Starting,Graham,7.6,Inactive,Bench,Kevin,15.28,Inactive,Bench,Kevin,12.8,Inactive,Bench,Kevin,7.0,Inactive,Bench,Liam,10.96,Inactive,Bench,Liam,9.2,Active,Starting,Liam,0.0,Inactive,Bench,None,Traded,None,None,None,None,None,None,Traded,None,Traded,None,None,Traded,None,None
"Breida, M. RB MIA","Breida, M.",RB,MIA,Graham,Graham,Graham,2.2,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Graham,0.0,Inactive,Bench,None,Dropped,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,PickedUp
"Johnson, D. WR PIT","Johnson, D.",WR,PIT,Graham,Graham,Graham,11.0,Inactive,Bench,Graham,23.6,Active,Starting,Graham,23.1,Active,Starting,Graham,12.6,Inactive,Bench,Graham,21.1,Active,Starting,Graham,8.0,Active,Starting,Graham,19.9,Active,Starting,Graham,22.4,Inactive,Bench,Graham,28.1,Inactive,Bench,Graham,0.9,Active,Starting,Graham,0.0,Inactive,Bench,Graham,2.0,Inactive,Bench,Graham,0.0,Inactive,Bench,Graham,29.0,Active,Starting,Graham,1.6,Inactive,Bench,Graham,14.1,Active,Starting,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Moss, Z. RB BUF","Moss, Z.",RB,BUF,Graham,Graham,Graham,11.7,Inactive,Bench,Matt,2.7,Inactive,Bench,FA,,FA,FA,Matt,8.8,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Graham,3.7,Active,Starting,Graham,0.0,Inactive,Bench,Graham,0.0,Inactive,Bench,FA,,FA,FA,Matt,1.0,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,None,Traded,Dropped,PickedUp,Dropped,FA,FA,FA,PickedUp,None,None,Dropped,PickedUp,Dropped,FA,FA
"Akers, C. RB LA","Akers, C.",RB,LA,Graham,Graham,Graham,5.3,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Kevin,7.2,Active,Starting,Kevin,0.0,Inactive,Bench,Graham,1.3,Inactive,Bench,Graham,0.0,Inactive,Bench,Graham,0.0,Inactive,Bench,Graham,6.1,Inactive,Bench,Graham,0.0,Inactive,Bench,Graham,0.0,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,None,Dropped,FA,FA,FA,FA,PickedUp,None,Traded,None,None,None,None,None,Dropped,FA
"Armstead, R. RB JAX","Armstead, R.",RB,JAX,Graham,Graham,Graham,0.00,Inactive,Reserve,Graham,0.00,Inactive,Reserve,Graham,0.00,Inactive,Reserve,Graham,0.00,Inactive,Reserve,Graham,0.00,Inactive,Reserve,Graham,0.00,Inactive,Reserve,Graham,0.00,Inactive,Reserve,Graham,0.00,Inactive,Reserve,Graham,0.00,Inactive,Reserve,Graham,0.00,Inactive,Reserve,Graham,0.00,Inactive,Reserve,Graham,0.00,Inactive,Reserve,Graham,0.00,Inactive,Reserve,Graham,0.00,Inactive,Reserve,Graham,0.00,Inactive,Reserve,Graham,0.00,Inactive,Reserve,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Allen, J. QB BUF","Allen, J.",QB,BUF,Liam,Liam,Liam,28.18,Active,Starting,Liam,27.36,Active,Starting,Liam,0.0,Inactive,Bench,Liam,15.48,Active,Starting,Liam,30.1,Active,Starting,Liam,18.32,Active,Starting,Liam,37.66,Active,Starting,Liam,32.3,Active,Starting,Liam,34.5,Active,Starting,Liam,31.24,Active,Starting,Liam,25.42,Active,Starting,Liam,16.32,Inactive,Bench,Liam,15.08,Active,Starting,Liam,16.38,Active,Starting,Liam,12.46,Active,Starting,Liam,36.0,Active,Starting,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Gurley, T. RB ATL","Gurley, T.",RB,ATL,Liam,Liam,Liam,13.7,Active,Starting,Liam,0.0,Inactive,Bench,Liam,3.9,Active,Starting,Liam,0.0,Inactive,Bench,Liam,3.0,Inactive,Bench,Liam,5.1,Inactive,Bench,Liam,3.4,Inactive,Bench,Liam,8.0,Inactive,Bench,Liam,6.1,Active,Starting,Liam,15.2,Active,Starting,Liam,19.3,Active,Starting,Liam,25.0,Active,Starting,Liam,9.7,Active,Starting,Liam,22.2,Active,Starting,Liam,10.6,Active,Starting,Liam,13.5,Active,Starting,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Ekeler, A. RB LAC","Ekeler, A.",RB,LAC,Liam,Liam,Liam,9.7,Active,Starting,Liam,0.00,Inactive,Reserve,Liam,0.00,Inactive,Reserve,Liam,23.9,Active,Starting,Liam,10.8,Active,Starting,Liam,23.6,Active,Starting,Liam,11.9,Active,Starting,Liam,15.8,Active,Starting,Liam,18.8,Active,Starting,Liam,31.3,Active,Starting,Liam,2.4,Active,Starting,Liam,0.00,Inactive,Reserve,Liam,0.00,Inactive,Reserve,Liam,0.00,Inactive,Reserve,Liam,0.00,Inactive,Reserve,Liam,0.00,Inactive,Reserve,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Adams, D. WR GB","Adams, D.",WR,GB,Liam,Liam,Liam,41.6,Active,Starting,Liam,18.6,Active,Starting,Liam,23.6,Active,Starting,Liam,18.1,Active,Starting,Liam,34.1,Active,Starting,Liam,24.5,Active,Starting,Liam,11.2,Active,Starting,Liam,43.2,Active,Starting,Liam,6.6,Active,Starting,Liam,0.0,Inactive,Bench,Liam,0.0,Inactive,Bench,Liam,0.0,Inactive,Bench,Liam,12.1,Active,Starting,Liam,44.6,Active,Starting,Liam,30.3,Active,Starting,Liam,33.3,Active,Starting,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
